"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","html 1"
"https://rupakotmajhuwagadhimun.gov.np/","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised","दिक्तेल रुपाकोट मझुवागढी नगरपालिका नगर कार्यपालिकाको कार्यालय दिक्तेल,खोटाङ,१ नं. प्रदेश, नेपाल | ""समाजवाद उन्मुख, सभ्य र समृद्ध नगर : दिक्तेल रुमवासीको रहर""","157","2087","","0","0","","0","","0","","0","Search form","11","नगर कार्यपालिकाको कार्यालय","26","","","","https://rupakotmajhuwagadhimun.gov.np/ne","","","","","","121602","1398","9.379","0","","11","1","0.130","203","111","8","8","","","","","813b795c6d9e3e3f8ec20e11d3f2456c","1.592","Sun, 18 Apr 2021 22:21:45 GMT","","","","HTTP/1.1","https://rupakotmajhuwagadhimun.gov.np/",""
"https://dhulikhelmun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","धुलिखेल नगरपालिका | समृद्ध धुलिखेलका लागि पर्यटकीय विकास, शिक्षा, स्वास्थ्य, व्यापार र आवास","91","1221","","0","0","","0","","0","","0","Search form","11","Search form","11","","","","","","","","","","161380","2550","11.173","0","","17","1","0.130","180","127","18","18","","","","","b08d8e0b2fa45c20d3774f1b03a9de64","3.250","","","","","HTTP/1.1","https://dhulikhelmun.gov.np/",""
"https://aathabismun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","आठबीस नगरपालिका - राकमकर्णाली दैलेख कर्णाली प्रदेश, नेपाल | ""आठबीस नगरकाे समुन्नतिका आधार शिक्षा, स्वास्थ्य, कृषि, पर्यटन र पूर्वाधार""","134","1779","","0","0","","0","खड्गराज उपाध्याय","16","दीपा बोहरा","10","Search form","11","Search form","11","","","","https://aathabismun.gov.np/","","","","","","111217","1028","7.524","0","","15","1","0.130","144","90","19","19","","","","","2ef2735a5f6fa1acbb752b8b78ecfbe5","2.121","","","","","HTTP/1.1","https://aathabismun.gov.np/",""
"https://aathabismun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qnqs17","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","261","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.356","","","","","HTTP/1.1","https://aathabismun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qnqs17",""
"https://pancheshwormun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","पञ्चेश्वर गाउँपालिका बैतडी | हामी सबैको एउटै स्वर, समृद्ध र समुन्नत विकास सहितको पञ्चेश्वर","90","1215","","0","0","","0","गोरख बहादुर चन्द","16","Bina Bhatt","10","Search form","11","Search form","11","","","","https://pancheshwormun.gov.np/","","","","","","106302","727","5.629","0","","8","1","0.130","130","84","10","9","","","","","204bd593652f6621ae40fe6dae3d5789","2.126","","","","","HTTP/1.1","https://pancheshwormun.gov.np/",""
"https://pancheshwormun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qr6l8j","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","262","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.337","","","","","HTTP/1.1","https://pancheshwormun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qr6l8j",""
"https://trivenimunrolpa.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","त्रिवेणी गाउँपालिका | गाउँ कार्यपालिकाको कार्यालय, जुगार रोल्पा, लुम्बिनी प्रदेश","80","1092","","0","0","","0","शान्तकुमार वली","14","सावित्रा कुमारी बुढा (घर्ती)","28","Search form","11","Search form","11","","","","https://trivenimunrolpa.gov.np/","","","","","","86385","368","4.318","0","","12","1","0.130","120","91","9","9","","","","","4ddb1dd139eb5a84631cacec29944be5","2.068","","","","","HTTP/1.1","https://trivenimunrolpa.gov.np/",""
"https://trivenimunrolpa.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qcj39u","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","261","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.347","","","","","HTTP/1.1","https://trivenimunrolpa.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qcj39u",""
"https://mansebungmun.gov.np/","text/html; charset=utf-8","200","OK","Indexable","","माङसेबुङ गाउँपालिका, गाउँ कार्यपालिकाको कार्यालय | प्रदेश नं १, ईलाम, नेपाल","75","999","","0","0","","0","डिकेन्द्र इधिङ्गो","17","सुनिता योङहाङ","13","माङसेबुङ्ग गाउँपालिकाको परिचय","29","Pages","5","","","","https://mansebungmun.gov.np/","","","","","","118218","1203","7.714","0","","9","1","0.130","166","110","30","28","","","","","89ac4a0df433845041631eabe79915fd","2.190","","","","","HTTP/1.1","https://mansebungmun.gov.np/",""
"https://mansebungmun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qrqv2t","text/html; charset=utf-8","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","261","0","0.000","1","","0","0","0.000","0","0","0","0","","","","","","0.332","","","","","HTTP/1.1","https://mansebungmun.gov.np/sites/all/themes/newmun/js/pages/home-CM.js?qrqv2t",""
